"","date","sm_surface_m3m3","sm_surface_pct","station","elevation","latitude","longitude"
"1",2018-08-01,0.300964564085007,30.0964564085007,"Nivolet",2555,45.519156,7.171398
"2",2018-08-02,0.288669615983963,28.8669615983963,"Nivolet",2555,45.519156,7.171398
"3",2018-08-03,0.281835481524467,28.1835481524467,"Nivolet",2555,45.519156,7.171398
"4",2018-08-04,0.284438993781805,28.4438993781805,"Nivolet",2555,45.519156,7.171398
"5",2018-08-05,0.290028367191553,29.0028367191553,"Nivolet",2555,45.519156,7.171398
"6",2018-08-06,0.297080229967833,29.7080229967833,"Nivolet",2555,45.519156,7.171398
"7",2018-08-07,0.303494662046432,30.3494662046432,"Nivolet",2555,45.519156,7.171398
"8",2018-08-08,0.292739979922771,29.2739979922771,"Nivolet",2555,45.519156,7.171398
"9",2018-08-09,0.301831509917974,30.1831509917974,"Nivolet",2555,45.519156,7.171398
"10",2018-08-10,0.290374517440796,29.0374517440796,"Nivolet",2555,45.519156,7.171398
"11",2018-08-11,0.27818277105689,27.818277105689,"Nivolet",2555,45.519156,7.171398
"12",2018-08-12,0.269925378262997,26.9925378262997,"Nivolet",2555,45.519156,7.171398
"13",2018-08-13,0.272033557295799,27.2033557295799,"Nivolet",2555,45.519156,7.171398
"14",2018-08-14,0.273470435291529,27.3470435291529,"Nivolet",2555,45.519156,7.171398
"15",2018-08-15,0.26623522117734,26.623522117734,"Nivolet",2555,45.519156,7.171398
"16",2018-08-16,0.260904531925917,26.0904531925917,"Nivolet",2555,45.519156,7.171398
"17",2018-08-17,0.289270229637623,28.9270229637623,"Nivolet",2555,45.519156,7.171398
"18",2018-08-18,0.281493756920099,28.1493756920099,"Nivolet",2555,45.519156,7.171398
"19",2018-08-19,0.271960079669952,27.1960079669952,"Nivolet",2555,45.519156,7.171398
"20",2018-08-20,0.275354269891977,27.5354269891977,"Nivolet",2555,45.519156,7.171398
"21",2018-08-21,0.274618927389383,27.4618927389383,"Nivolet",2555,45.519156,7.171398
"22",2018-08-22,0.275798462331295,27.5798462331295,"Nivolet",2555,45.519156,7.171398
"23",2018-08-23,0.273579820990562,27.3579820990562,"Nivolet",2555,45.519156,7.171398
"24",2018-08-24,0.278917592018843,27.8917592018843,"Nivolet",2555,45.519156,7.171398
"25",2018-08-25,0.273924734443426,27.3924734443426,"Nivolet",2555,45.519156,7.171398
"26",2018-08-26,0.2635897397995,26.35897397995,"Nivolet",2555,45.519156,7.171398
"27",2018-08-27,0.254871636629105,25.4871636629105,"Nivolet",2555,45.519156,7.171398
"28",2018-08-28,0.249076133593917,24.9076133593917,"Nivolet",2555,45.519156,7.171398
"29",2018-08-29,0.256100131198764,25.6100131198764,"Nivolet",2555,45.519156,7.171398
"30",2018-08-30,0.257368864491582,25.7368864491582,"Nivolet",2555,45.519156,7.171398
"31",2018-09-01,0.26039694622159,26.039694622159,"Nivolet",2555,45.519156,7.171398
"32",2018-09-02,0.255961868911982,25.5961868911982,"Nivolet",2555,45.519156,7.171398
"33",2018-09-03,0.259192608296871,25.9192608296871,"Nivolet",2555,45.519156,7.171398
"34",2018-09-04,0.247808609157801,24.7808609157801,"Nivolet",2555,45.519156,7.171398
"35",2018-09-05,0.244507450610399,24.4507450610399,"Nivolet",2555,45.519156,7.171398
"36",2018-09-06,0.27110312692821,27.110312692821,"Nivolet",2555,45.519156,7.171398
"37",2018-09-07,0.276525907218456,27.6525907218456,"Nivolet",2555,45.519156,7.171398
"38",2018-09-08,0.252565566450357,25.2565566450357,"Nivolet",2555,45.519156,7.171398
"39",2018-09-09,0.244530022144318,24.4530022144318,"Nivolet",2555,45.519156,7.171398
"40",2018-09-10,0.249928278848529,24.9928278848529,"Nivolet",2555,45.519156,7.171398
"41",2018-09-11,0.253796275705099,25.3796275705099,"Nivolet",2555,45.519156,7.171398
"42",2018-09-12,0.242385832592845,24.2385832592845,"Nivolet",2555,45.519156,7.171398
"43",2018-09-13,0.264173462986946,26.4173462986946,"Nivolet",2555,45.519156,7.171398
"44",2018-09-14,0.260723542422056,26.0723542422056,"Nivolet",2555,45.519156,7.171398
"45",2018-09-15,0.251984542235732,25.1984542235732,"Nivolet",2555,45.519156,7.171398
"46",2018-09-16,0.263464715331793,26.3464715331793,"Nivolet",2555,45.519156,7.171398
"47",2018-09-17,0.263100411742926,26.3100411742926,"Nivolet",2555,45.519156,7.171398
"48",2018-09-18,0.271684072911739,27.1684072911739,"Nivolet",2555,45.519156,7.171398
"49",2018-09-19,0.253633737564087,25.3633737564087,"Nivolet",2555,45.519156,7.171398
"50",2018-09-20,0.251745134592056,25.1745134592056,"Nivolet",2555,45.519156,7.171398
"51",2018-09-21,0.265107374638319,26.5107374638319,"Nivolet",2555,45.519156,7.171398
"52",2018-09-22,0.262985905632377,26.2985905632377,"Nivolet",2555,45.519156,7.171398
"53",2018-09-23,0.263245174661279,26.3245174661279,"Nivolet",2555,45.519156,7.171398
"54",2018-09-24,0.262489566579461,26.2489566579461,"Nivolet",2555,45.519156,7.171398
"55",2018-09-25,0.24289757758379,24.289757758379,"Nivolet",2555,45.519156,7.171398
"56",2018-09-26,0.235765874385834,23.5765874385834,"Nivolet",2555,45.519156,7.171398
"57",2018-09-27,0.230118887498975,23.0118887498975,"Nivolet",2555,45.519156,7.171398
"58",2018-09-28,0.222217876464128,22.2217876464128,"Nivolet",2555,45.519156,7.171398
"59",2018-09-29,0.229677248746157,22.9677248746157,"Nivolet",2555,45.519156,7.171398
"60",2018-10-01,0.279376812279224,27.9376812279224,"Nivolet",2555,45.519156,7.171398
"61",2018-10-02,0.280655536800623,28.0655536800623,"Nivolet",2555,45.519156,7.171398
"62",2018-10-03,0.271144691854715,27.1144691854715,"Nivolet",2555,45.519156,7.171398
"63",2018-10-04,0.255719078704715,25.5719078704715,"Nivolet",2555,45.519156,7.171398
"64",2018-10-05,0.248003801330924,24.8003801330924,"Nivolet",2555,45.519156,7.171398
"65",2018-10-06,0.248971473425627,24.8971473425627,"Nivolet",2555,45.519156,7.171398
"66",2018-10-07,0.248680138960481,24.8680138960481,"Nivolet",2555,45.519156,7.171398
"67",2018-10-08,0.246293753385544,24.6293753385544,"Nivolet",2555,45.519156,7.171398
"68",2018-10-09,0.239035278558731,23.9035278558731,"Nivolet",2555,45.519156,7.171398
"69",2018-10-10,0.246369181200862,24.6369181200862,"Nivolet",2555,45.519156,7.171398
"70",2018-10-11,0.266692623496056,26.6692623496056,"Nivolet",2555,45.519156,7.171398
"71",2018-10-12,0.266083352267742,26.6083352267742,"Nivolet",2555,45.519156,7.171398
"72",2018-10-13,0.258399937301874,25.8399937301874,"Nivolet",2555,45.519156,7.171398
"73",2018-10-14,0.258852608501911,25.8852608501911,"Nivolet",2555,45.519156,7.171398
"74",2018-10-15,0.261407062411308,26.1407062411308,"Nivolet",2555,45.519156,7.171398
"75",2018-10-16,0.275280892848969,27.5280892848969,"Nivolet",2555,45.519156,7.171398
"76",2018-10-17,0.274677056819201,27.4677056819201,"Nivolet",2555,45.519156,7.171398
"77",2018-10-18,0.28413425013423,28.413425013423,"Nivolet",2555,45.519156,7.171398
"78",2018-10-19,0.270728521049023,27.0728521049023,"Nivolet",2555,45.519156,7.171398
"79",2018-10-20,0.264340717345476,26.4340717345476,"Nivolet",2555,45.519156,7.171398
"80",2018-10-21,0.261148478835821,26.1148478835821,"Nivolet",2555,45.519156,7.171398
"81",2018-10-22,0.252718672156334,25.2718672156334,"Nivolet",2555,45.519156,7.171398
"82",2018-10-23,0.249774066731334,24.9774066731334,"Nivolet",2555,45.519156,7.171398
"83",2018-10-24,0.252974148839712,25.2974148839712,"Nivolet",2555,45.519156,7.171398
"84",2018-10-25,0.249607022851706,24.9607022851706,"Nivolet",2555,45.519156,7.171398
"85",2018-10-26,0.236917329952121,23.6917329952121,"Nivolet",2555,45.519156,7.171398
"86",2018-10-27,0.259819420054555,25.9819420054555,"Nivolet",2555,45.519156,7.171398
"87",2018-10-28,0.285443585366011,28.5443585366011,"Nivolet",2555,45.519156,7.171398
"88",2018-10-29,0.319398902356625,31.9398902356625,"Nivolet",2555,45.519156,7.171398
"89",2018-10-30,0.295832455158234,29.5832455158234,"Nivolet",2555,45.519156,7.171398
"90",2018-11-01,0.284584332257509,28.4584332257509,"Nivolet",2555,45.519156,7.171398
"91",2018-11-02,0.285002581775188,28.5002581775188,"Nivolet",2555,45.519156,7.171398
"92",2018-11-03,0.293231222778559,29.3231222778559,"Nivolet",2555,45.519156,7.171398
"93",2018-11-04,0.307385250926018,30.7385250926018,"Nivolet",2555,45.519156,7.171398
"94",2018-11-05,0.304413333535194,30.4413333535194,"Nivolet",2555,45.519156,7.171398
"95",2018-11-06,0.30877885594964,30.877885594964,"Nivolet",2555,45.519156,7.171398
"96",2018-11-07,0.302381042391062,30.2381042391062,"Nivolet",2555,45.519156,7.171398
"97",2018-11-08,0.301757365465164,30.1757365465164,"Nivolet",2555,45.519156,7.171398
"98",2018-11-09,0.300862576812506,30.0862576812506,"Nivolet",2555,45.519156,7.171398
"99",2018-11-10,0.300042487680912,30.0042487680912,"Nivolet",2555,45.519156,7.171398
"100",2018-11-11,0.30105808749795,30.105808749795,"Nivolet",2555,45.519156,7.171398
"101",2018-11-12,0.303547743707895,30.3547743707895,"Nivolet",2555,45.519156,7.171398
"102",2018-11-13,0.308479577302933,30.8479577302933,"Nivolet",2555,45.519156,7.171398
"103",2018-11-14,0.301739063113928,30.1739063113928,"Nivolet",2555,45.519156,7.171398
"104",2018-11-15,0.297067549079657,29.7067549079657,"Nivolet",2555,45.519156,7.171398
"105",2018-11-16,0.292814567685127,29.2814567685127,"Nivolet",2555,45.519156,7.171398
"106",2018-11-17,0.287600915879011,28.7600915879011,"Nivolet",2555,45.519156,7.171398
"107",2018-11-18,0.282761812210083,28.2761812210083,"Nivolet",2555,45.519156,7.171398
"108",2018-11-19,0.282232087105513,28.2232087105513,"Nivolet",2555,45.519156,7.171398
"109",2018-11-20,0.284511528909206,28.4511528909206,"Nivolet",2555,45.519156,7.171398
"110",2018-11-21,0.28329723328352,28.329723328352,"Nivolet",2555,45.519156,7.171398
